Job Title,Job Description,Job Location,Employer Brand Name,Salary Lower Range,Salary Upper Range,Shift Timings,Calling Hours,Accommodation Provided,English Proficiency,Additional Perks,Active,Create Date,Job Post Id,Employer Id
Continental Chef (Commi),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.",Palghar,Breeze The Rooftop Cafe,15000.00,25000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,"Break 2 Hours 
Food and accommodation 
Weekly off 

",true,2024-08-29 07:07:50.2,001122b6-3db0-4582-a08a-19a08752a15b,fc249300-65d1-499c-b4bc-76430c776e99
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Mehsana gujarat,PUNJABI CHAAP CORNER MULTI CUISINE RESTAURANT ,11000.00,12500.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,"Food will be provided
Uniform will be provided 
Room will be provided 
",false,2024-05-06 19:43:20.318,0028321f-330b-4d40-b724-f80f32c284ba,eec81416-bb7c-4726-b9a2-afdabca15c67
Kitchen Supervisor,"- Ensure timely preparation and delivery of orders. 
- Coordinate between the kitchen and front of house staff. 
- Communicate special requests, modifications, and timing to the kitchen. 
- Inspect dishes for accuracy, presentation, and quality. 
- Manage timing and efficiency of food preparation. 
- Handle communication and troubleshooting during service.","Shilaj, Ahmedabad",Tartine,22000.00,27000.00, - ,10:00 AM - 8:00 PM,true,GOOD,,false,2024-03-04 00:00:00.0,00412900-cff0-4728-8935-87e3c2a1001f,a5965919-c5be-471c-b8d0-bd92b47de6e6
Chinese Chef (Commi),"- Prepare and cook Chinese cuisine dishes, including stir-fries, noodles, and dim sum.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Chinese kitchen section.
- Collaborate with other chefs for coordinated service.",Noida,Desi Handi,18000.00,20000.00,11:00 AM - 11:00 PM,09:00 AM - 07:00 PM,true,BEGINNER,,true,2025-04-04 06:09:43.911,004e476e-8b64-4142-bbf7-14cffb10870e,0c073b17-d29e-45b9-a57b-942fa3825ce6
Indian (Curry) Chef (DCDP / CDP),- Specialiized role for Seafood & Goan cuisine,Thane West - Ghodbunder Road (Waghbil),MajGhar - Thane,22000.00,30000.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,"All days meals & Accommodation. 
Weekly OFF. ",false,2024-03-28 12:23:34.083,006f4150-b733-4457-876c-0c6abbfd5410,dbbecc0f-3853-450b-b9e8-dbad8e0c0e5d
Continental Chef (Sous Chef),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.",Mumbai,Sage and Saffron,45000.00,60000.00,11:00 AM - 11:00 PM,09:00 AM - 08:00 PM,true,BEGINNER,,false,2024-11-15 11:00:08.824,007335bd-d70f-4523-8cff-79a54fd50e0e,e95dfd4f-746f-4f37-a9d1-65b6d6c0a581
Chinese Chef (DCDP / CDP),"- Prepare and cook Chinese cuisine dishes, including stir-fries, noodles, and dim sum.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Chinese kitchen section.
- Collaborate with other chefs for coordinated service.",Indore,Nivanta Restaurant ,12000.00,16000.00,03:00 PM - 01:00 AM, - ,false,BEGINNER,,true,2025-05-31 10:12:40.722,00a0cadf-7057-481f-ae5a-fd5d06392483,69898e0c-03d1-442a-9975-2a14d6b512da
Crew Member,"- Assist in food preparation, cooking, and assembly. 
- Serve customers with a friendly and efficient attitude. 
- Clean and maintain the dining area and equipment. 
- Follow food safety and hygiene standards.","Gallops food plaza- limbdi, nr rajkot ahmedabad highway, Gujarat",Burger Farm ,10000.00,13500.00,11:00 AM - 11:00 PM, - ,true,BEGINNER,"Food,Accommodation ,company provided ",false,2023-12-23 00:00:00.0,010cace2-cb50-4ff2-8045-fa8eb7e552df,05d3ac6a-65cf-4b2d-8d7c-e95e73c41cb9
Captain,"- 7740037331 CALL FOR JOB
- 9 HOUR SHIFT PER DAY 
- INCENTIVE WILL BE PROVIDED AFTER 3 MONTHS OF JOINING 
- Oversee the dining area and ensure smooth service flow. 
- Supervise waitstaff, assign sections, and provide guidance. 
- Handle customer inquiries, complaints, and special requests. 
- Collaborate with kitchen staff for timely food delivery.",Mehsana gujarat,PUNJABI CHAAP CORNER MULTI CUISINE RESTAURANT ,17000.00,18000.00,01:00 PM - 10:00 PM,11:00 AM - 10:00 PM,true,BEGINNER,I would offer them incentive after 3 months of joining also accommodation and also food,false,2023-10-10 00:00:00.0,01154a6e-04d7-45fd-9899-65043d2780c8,eec81416-bb7c-4726-b9a2-afdabca15c67
South Indian Chef (DCDP / CDP),"- Prepare and cook South Indian cuisine dishes, including dosas, idlis, and curries.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the South Indian kitchen section.
- Collaborate with other chefs for coordinated service.","New Naroda, Ahmedabad",Real Daa Dosa,20000.00,25000.00, - ,10:00 AM - 8:00 PM,true,BEGINNER,,false,2024-03-12 00:00:00.0,0158e2be-d5c7-4231-a9f1-91a28ef640b6,8bfc469e-3435-437f-815e-d71f46bdc61e
Continental Chef (Commi),"- Prepare and cook a variety of continental cuisine dishes, including pasta, steaks, and seafood.
- Ensure accurate flavor profiles and presentation.
- Maintain cleanliness and organization in the continental kitchen section.
- Collaborate with the kitchen team for efficient service.",Ahmedabad,Shararat,14000.00,20000.00,05:00 PM - 01:00 AM, - ,false,GOOD,,false,2024-01-12 00:00:00.0,01be292e-b34e-4592-8bd0-641c3667f467,f098f487-89a2-47c7-8ec0-f3bb79117f0f
Housekeeping Supervisor,"Position: Housekeeping Supervisor
Location: Kudasan, Gandhinagar
Salary: ₹20,000 - ₹45,000 (depending on experience)

Role Summary:
Responsible for overseeing the housekeeping team, ensuring a clean and well-maintained environment for residents, and managing daily operations for a 140-bed property.

Key Responsibilities:

Supervise housekeeping staff and ensure quality cleaning and maintenance standards.

Inspect rooms and common areas to ensure cleanliness.

Develop schedules, assign tasks, and manage inventory of cleaning supplies.

Train and motivate housekeeping staff for high-quality service.


Qualifications and Skills:

Prior experience in housekeeping management, preferably in hospitality or residential facilities.

Strong leadership and organizational skills.

Ability to work effectively with a team and maintain high standards of cleanliness.","Ahmedabad, gandhinagar kudasan",Union living: luxury girls hostel,20000.00,45000.00,09:00 AM - 08:00 AM, - ,true,GOOD,For single room and food,true,2024-12-16 07:12:33.773,01ce7543-ebdd-43c8-b0e1-b7d95292ec87,9cf910bf-6dc1-4870-904f-398f7ddaa460
Chinese Chef (Commi),"- Prepare and cook Chinese cuisine dishes, including stir-fries, noodles, and dim sum.
- Ensure authentic flavors and high-quality presentation.
- Maintain cleanliness and organization in the Chinese kitchen section.
- Collaborate with other chefs for coordinated service.",Rohini sector 17,TWOP,12000.00,18000.00,11:00 AM - 10:00 PM, - ,true,BEGINNER,,true,2025-03-19 08:25:35.117,02b456a9-b027-40b1-870a-8b9c44d23884,9742cf0a-7f3e-4dba-8e40-8ea179f60cee
Crew Member,"- Assist in food preparation, cooking, and assembly. 
- Serve customers with a friendly and efficient attitude. 
- Clean and maintain the dining area and equipment. 
- Follow food safety and hygiene standards.","Maninagar, Ahmedabad",La Milano Pizza,14000.00,20000.00, - ,10:00 AM - 8:00 PM,false,BEGINNER,,false,2023-09-05 00:00:00.0,02fda70d-b7a7-45ec-a7bc-dae009a37e0f,ba535daf-e08e-4932-867f-3c91001e2c67
Waiter / Steward,"- Provide attentive customer service and take orders accurately. 
- Serve food and beverages promptly. 
- Ensure customer satisfaction and handle any inquiries or issues. 
- Set up and clean dining area for service.",Ahmedabad,Temptt Restro And Cafe ,10000.00,12500.00,11:00 AM - 09:00 AM, - ,true,BEGINNER,,false,2023-10-10 00:00:00.0,0339c0d3-e30f-4592-ba84-a509d016cba2,db88b9e8-ac45-4fda-813c-984494e7abdb
